"109","Ongediertebestrijder","R",,,"Pest control worker",
"110","Pesticidesproeier","R",,,"Pesticide handler, sprayer and applicator",
"111","Loods","R",,,"Pilot (boat)",
"112","Pijpenlegger","R",,,"Pipelayer",
"113","Stukadoor","R",,,"Stucco worker / Plasterer",
"114","Edelsmid / Edelmetaal bewerker","R",,,"Precious metal worker",
"115","Radioloog","R",,,"Radiologist",
"116","Elektronica installateur","R",,,"Electronic equipment installer and repairer",
"117","Portier","R",,,"Doorman",
"118","Dakdekkers","R",,,"Roofer",
"119","Timmerman","R",,,"Woodworker",
"120","Dokwerker","R",,,"Docker / Stevedore / Longshoreman",
"121","Matroos / Zeeman","R",,,"Sailer",
"122","Technicus telecommunicatie ","R",,,"Telecommunications equipment installer / repairer",
"123","Kleermaker","R",,,"Tailor / Sewer",
"124","Slachter","R",,,"Slaughterer / Meat packer",
"125","Geluidstechnicus","R",,,"Sound engineer",
"126","Steenhouwer","R",,,"Stonemason / Stonecutter",
"127","Chirurgisch technoloog","R",,,"Surgical technologist",
"128","Landmeetkundige","R",,,"Land surveyor",
"129","Tegelzetter","R",,,"Tiler",
"130","Vrachtwagenchauffeur","R",,,"Truck driver",
"131","Scheidsrechter","R",,,"Referee",
"132","Horlogemakers","R",,,"Watchmaker",
"133","Lasser","R",,,"Welder",
"135","Ruimtevaarttechnoloog","I",,,"Aerospace technologist",
"136","Dierwetenschapper","I",,,"Animal scientist",
"137","Antroproloog","I",,,"Anthropologist",
"138","Archeoloog","I",,,"Archaeologist",
"139","Astronoom","I",,,"Astronomer",
"140","Audioloog","I",,,"Audiologist",
"141","Biochemicus","I",,,"Biochemist",
"142","Bioloog","I",,,"Biologist",
"143","Biomedisch ingenieur","I",,,"Biomedical engineer",
"144","Chemisch ingenieur","I",,,"Chemical engineer",
"145","Scheikundige","I",,,"Chemist",
"146","Klinisch psycholoog","I",,,"Clinical psychologist",
"147","Computerhardware technicus","I",,,"Computer hardware engineer",
"148","Programmeur","I",,,"Programmer",
"149","Software ontwikkelaar","I",,,"Software developer",
"150","Systeem analist","I",,,NULL,NULL
"151","IT Systeem architect","I",,,"Computer systems engineer/architect",
"152","Lijkschouwer","I",,,"Coroner",
"153","Tandarts","I",,,"Dentist",
"154","Echoscopist","I",,,"Diagnostic medical sonographer",
"155","Dietist","I",,,"Dietitian / Nutritionist",
"156","Econoom","I",,,"Economist",
"157","Elektrisch ingenieur","I",,,"Electrical engineer",
"158","Epidemioloog","I",,,"Epidemiologist",
"159","Huisarts","I",,,"Family and general practitioner",
"160","Brandonderzoeker","I",,,"Fire investigator",
"161","Voedingsdeskundige","I",,,"Food scientist / Technologist",
"162","Forensisch wetenschapper","I",,,"Forensic science technician",
"163","Geograaf","I",,,"Geographer ",
"164","Aardwetenschapper","I",,,"Geoscientist",
"165","Historicus","I",,,"Historian",
"166","Hydroloog","I",,,"Hydrologist",
"167","Industrieel ingenieur","I",,,"Industrial engineer",
"168","Organisatie psycholoog","I",,,"Industrial-Organizational psychologist ",
"169","Internist","I",,,"Internist (general)",
"170","Microbioloog","I",,,"Microbiologist",
"171","Netwerkbeheerder","I",,,"Network and computer systems administrator",
"172","Nucleair ingenieur","I",,,"Nuclear engineer",
"173","Gynaecoloog","I",,,"Obstetrician / Gynecologist",
"174","Optometrist","I",,,"Optometrist",
"175","Orthodontist","I",,,"Orthodontist",
"176","Kinderarts","I",,,"Pediatrician (general)",
"177","Apotheker ","I",,,"Pharmacist",
"178","Natuurkundige","I",,,"Physicist",
"179","Podoloog","I",,,"Podiatrist",
"180","Politiek wetenschapper","I",,,"Political scientist",
"181","Tandprothesemaker","I",,,"Prosthodontist",
"182","Psychiater","I",,,"Psychiatrist",
"183","Psycholoog","I",,,"Psychologist",
"184","Socioloog","I",,,"Sociologist",
"185","Chirurg","I",,,"Surgeon",
"186","Marktonderzoeker","I",,,"Survey researcher",
"187","Dierenarts","I",,,"Veterinarian",
"188","Zo̦loog","I",,,"Zoologists and wildlife biologists",
"189","Acteur","A",,,"Actor",
"190","Architect","A",,,"Architect ",
"191","Bouwkundig tekenaar","A",,,"Architectural drafter",
"192","Choreograaf","A",,,"Choreographer",
"193","Comercieel of industrieel ontwerper","A",,,"Commercial / Industrial designer",
"194","Kok","A",,,"Cook (private household)",
"195","Danser","A",,,"Dancer",
"196","DTP","A",,,"Desktop publisher",
